text,label
"I am a quick learner and always strive to improve my skills.",Good Answer
"I believe in teamwork and collaboration to achieve organizational goals.",Good Answer
"I struggle with time management sometimes, but I am working on it.",Needs Improvement
"I find it difficult to work under pressure, but I try to manage.",Needs Improvement
"I am not good at communication and often get nervous.",Bad Answer
"I am highly detail-oriented and ensure that every task is completed on time.",Good Answer
"I find it difficult to adapt to changes quickly.",Needs Improvement
"I lack technical skills in some areas but I am learning.",Bad Answer
"Effective communication is one of my strengths.",Good Answer
"I am constantly looking for ways to improve my productivity.",Good Answer
